# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	20908
#@/user_id	6a1fb6ce-71d4-4c3d-8498-654831c224b0
a 	啊	c=50 d=1.90356 t=20908
a di 	阿迪	c=1 d=6.28349e-05 t=20908
a la si jia 	阿拉斯加	c=1 d=4.56508e-11 t=20908
a li 	阿里	c=1 d=0.00252883 t=20908
ai 	愛	c=14 d=0.57695 t=20908
ai dou 	愛豆	c=1 d=1.12283e-10 t=20908
ai guo 	愛國	c=2 d=0.0685632 t=20908
ai hao 	愛好	c=1 d=1.04781e-20 t=20908
ai ni 	愛你	c=1 d=0.000466618 t=20908
ai ren 	愛人	c=0 d=2.70556e-34 t=20908
ai si ji mo ren 	愛斯基摩人	c=1 d=0.00597602 t=20908
ai ting 	愛聽	c=1 d=7.65331e-31 t=20908
ai zi 	矮子	c=1 d=1.09265e-13 t=20908
an 	安	c=1 d=2.01266e-23 t=20908
an 	按	c=4 d=2.06528e-13 t=20908
an 	暗	c=1 d=1.81797e-32 t=20908
an 	案	c=1 d=0.112478 t=20908
an hui ren 	安徽人	c=1 d=1.04599e-29 t=20908
an jing 	安靜	c=2 d=2.79408e-26 t=20908
an li 	案例	c=1 d=2.82864e-27 t=20908
an mo 	按摩	c=1 d=1.0031e-07 t=20908
an niu 	按鈕	c=1 d=3.02077e-06 t=20908
an pai 	安排	c=2 d=2.7947e-27 t=20908
an qing 	安慶	c=1 d=1.07785e-29 t=20908
an quan 	安全	c=4 d=0.00234188 t=20908
an zhuang 	安裝	c=3 d=0.00970611 t=20908
an zhuo 	安卓	c=1 d=4.72769e-11 t=20908
ao ba ma 	奧巴馬	c=1 d=1.1804e-10 t=20908
ao jiao 	傲嬌	c=1 d=3.81957e-31 t=20908
ao jin ni 	奧金尼	c=1 d=0.00344787 t=20908
ao zhan 	鏖戰	c=1 d=2.46379e-20 t=20908
ba 	吧	c=38 d=2.05873 t=20908
ba 	把	c=51 d=0.185637 t=20908
ba bu de 	巴不得	c=1 d=5.96872e-18 t=20908
ba dao 	把刀	c=0 d=6.77265e-35 t=20908
ba dian ban 	八點半	c=2 d=0.00258198 t=20908
ba ji 	吧唧	c=2 d=1.55585e-30 t=20908
ba niao 	把尿	c=0 d=4.46223e-38 t=20908
ba qi 	霸氣	c=4 d=2.28896e-07 t=20908
ba shi ba niao 	把屎把尿	c=1 d=4.4846e-37 t=20908
ba wo 	扒我	c=1 d=7.8119e-37 t=20908
ba yi 	八一	c=2 d=0.142751 t=20908
bai 	擺	c=1 d=2.78558e-23 t=20908
bai 	白	c=7 d=2.35258e-06 t=20908
bai 	百	c=0 d=0.0045275 t=20908
bai chen feng 	白塵封	c=1 d=3.87796e-33 t=20908
bai chen shan 	白襯衫	c=3 d=1.34854e-32 t=20908
bai du 	百度	c=8 d=0.0850088 t=20908
bai lai kuai qian 	百來塊錢	c=1 d=0.045502 t=20908
bai lei 	敗類	c=1 d=1.901e-28 t=20908
bai se 	白色	c=1 d=1.70507e-13 t=20908
bai shi 	百世	c=0 d=3.46504e-33 t=20908
bai shi kuai di 	百世快遞	c=1 d=3.4824e-32 t=20908
bai shi xue yi 	拜師學藝	c=1 d=4.54618e-21 t=20908
bai tu 	白兔	c=1 d=1.44642e-31 t=20908
bai wan 	百萬	c=0 d=9.90893e-12 t=20908
bai wan fu wen 	百萬符文	c=1 d=9.9586e-11 t=20908
bai you bai 	白又白	c=1 d=1.32331e-31 t=20908
bai zai 	擺在	c=1 d=3.17014e-15 t=20908
ban 	半	c=1 d=1.43748e-34 t=20908
ban 	搬	c=1 d=1.78046e-22 t=20908
ban 	版	c=2 d=0.67368 t=20908
ban 	班	c=2 d=3.40058e-17 t=20908
