# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2113
#@/user_id	6a1fb6ce-71d4-4c3d-8498-654831c224b0
a 	啊	c=10 d=1.87136 t=2113
a 	阿	c=1 d=0.138761 t=2113
a a a 	啊啊啊	c=0 d=0.00295994 t=2113
a a a a 	啊啊啊啊	c=1 d=0.0330067 t=2113
a a a a a a a 	啊啊啊啊啊啊啊	c=1 d=0.0297478 t=2113
ai 	爱	c=1 d=0.0125881 t=2113
ai 	癌	c=1 d=0.0443785 t=2113
ai mei 	暧昧	c=2 d=1.27707 t=2113
ai mei bu qing 	暧昧不清	c=1 d=0.551563 t=2113
ba 	吧	c=4 d=1.2299 t=2113
ba 	把	c=7 d=1.19825 t=2113
ba li 	巴黎	c=1 d=0.0125881 t=2113
bai 	白	c=0 d=0.1 t=2101
bai du 	百度	c=2 d=0.783272 t=2113
ban 	半	c=1 d=0.786628 t=2113
ban ben 	版本	c=0 d=0.010383 t=2113
ban ye 	半页	c=1 d=0.774916 t=2113
bang yang 	榜样	c=1 d=0.0867261 t=2113
bao 	包	c=1 d=0.0957759 t=2113
bao bei 	宝贝	c=1 d=0.752014 t=2113
bao hu 	保护	c=1 d=0.551563 t=2113
bao zha 	爆炸	c=1 d=0.194952 t=2113
bei 	被	c=2 d=0.275375 t=2113
bei fang 	北方	c=1 d=0.748264 t=2113
bei jing 	北京	c=3 d=1.59268 t=2113
bei ni 	被你	c=1 d=0.00970611 t=2113
bi 	比	c=4 d=0.118654 t=2113
bi ji 	笔记	c=1 d=0.0149208 t=2113
bi jiao 	比较	c=1 d=0.960789 t=2113
bi xu 	必须	c=1 d=0.0112206 t=2113
bi ye 	毕业	c=1 d=0.0102037 t=2113
bian tai 	变态	c=3 d=0.361481 t=2113
biao qing 	表情	c=1 d=0.108067 t=2113
biao ti 	标题	c=0 d=0.00434998 t=2113
biao ti dang 	标题党	c=1 d=0.0437178 t=2113
bing gun 	冰棍	c=1 d=0.726149 t=2113
bo lang 	波浪	c=0 d=0.177989 t=2113
bo lang hao 	波浪号	c=1 d=0.932394 t=2113
bo lang xian 	波浪线	c=5 d=4.86381 t=2113
bu 	不	c=7 d=2.07244 t=2113
bu chong 	补充	c=1 d=0.0395575 t=2113
bu chuan 	不穿	c=1 d=0.22091 t=2113
bu dan 	不单	c=0 d=0.016696 t=2113
bu dan dan 	不单单	c=1 d=0.167797 t=2113
bu dong 	不懂	c=2 d=0.0383884 t=2113
bu dou shi 	不都是	c=1 d=0.0269169 t=2113
bu dui 	不对	c=2 d=0.3183 t=2113
bu gan 	不干	c=1 d=0.955997 t=2113
bu gei 	不给	c=1 d=0.332871 t=2113
bu guo 	不过	c=3 d=0.0309344 t=2113
bu hao 	不好	c=2 d=0.986264 t=2113
bu hao shou 	不好受	c=1 d=0.0115047 t=2113
bu hui 	不会	c=3 d=0.242 t=2113
bu jiao 	不叫	c=2 d=0.0675879 t=2113
bu jie 	不洁	c=1 d=0.453845 t=2113
bu kan 	不看	c=1 d=0.131336 t=2113
bu lao shi 	不老实	c=1 d=0.138069 t=2113
bu mo 	不摸	c=2 d=0.592164 t=2113
bu mo 	不膜	c=1 d=0.286505 t=2113
bu neng 	不能	c=2 d=0.0899079 t=2113
bu qing 	不清	c=0 d=0.0548812 t=2113
bu quan 	补全	c=1 d=0.818731 t=2113
bu ran 	不然	c=2 d=0.914546 t=2113
bu shang 	不上	c=1 d=0.0784731 t=2113
bu shi 	不是	c=4 d=0.28458 t=2113
bu wan 	不玩	c=1 d=0.0128424 t=2113
bu xiang 	不想	c=1 d=0.117068 t=2113
bu xiao de 	不晓得	c=1 d=0.00946646 t=2113
bu xing 	不行	c=2 d=0.602511 t=2113
bu yao 	不要	c=5 d=1.14604 t=2113
bu yong 	不用	c=1 d=0.818731 t=2113
bu zhao 	不找	c=1 d=0.0678809 t=2113
bu zhi dao 	不知道	c=4 d=0.799781 t=2113
cai 	才	c=4 d=0.992921 t=2113
cai 	猜	c=2 d=0.211189 t=2113
can yu 	参与	c=1 d=0.0287246 t=2113
cang 	藏	c=1 d=0.806541 t=2113
cao zuo 	操作	c=3 d=0.0537105 t=2113
cao zuo xi tong 	操作系统	c=1 d=0.0156858 t=2113
ce shi 	测试	c=2 d=0.0754469 t=2113
cha bu duo 	差不多	c=1 d=0.0165727 t=2113
cha dian 	差点	c=2 d=0.07502 t=2113
cha shou 	查收	c=1 d=0.0306538 t=2113
chan pin 	产品	c=1 d=0.400517 t=2113
chao 	炒	c=0 d=0.00256042 t=2113
chao piao 	钞票	c=1 d=0.180866 t=2113
cheng 	城	c=1 d=0.263158 t=2113
cheng li 	城里	c=1 d=0.254107 t=2113
cheng ren 	承认	c=1 d=0.364219 t=2113
cheng xu 	程序	c=9 d=0.106256 t=2113
chi 	吃	c=3 d=0.0263839 t=2113
chi kui 	吃亏	c=1 d=0.0352602 t=2113
chi zao 	迟早	c=1 d=0.12493 t=2113
chong xin 	重新	c=2 d=0.920603 t=2113
chou 	臭	c=2 d=1.68735 t=2113
chou si 	抽死	c=1 d=0.377192 t=2113
chu 	出	c=2 d=0.27567 t=2113
chu ge 	出个	c=1 d=0.101266 t=2113
chu lai 	出来	c=1 d=0.16696 t=2113
chu le 	除了	c=1 d=0.256661 t=2113
chu li 	处理	c=1 d=0.680451 t=2113
chu qiao 	出窍	c=1 d=0.158025 t=2113
chu qu 	出去	c=3 d=0.966445 t=2113
chu shen 	出身	c=1 d=0.0500366 t=2113
chuan 	传	c=1 d=0.0117371 t=2113
chuan 	穿	c=7 d=3.42437 t=2113
chuan shuo 	传说	c=1 d=0.121846 t=2113
ci ku 	词库	c=5 d=4.13356 t=2113
cong 	从	c=2 d=0.188384 t=2113
cou he 	凑合	c=1 d=0.0113334 t=2113
cuo bie zi 	错别字	c=1 d=0.802519 t=2113
cuo wu 	错误	c=1 d=0.268474 t=2113
da 	大	c=3 d=1.73024 t=2113
da 	打	c=8 d=1.80667 t=2113
da bu 	打不	c=1 d=0.0507928 t=2113
da cuo 	打错	c=1 d=0.021068 t=2113
da fa 	打发	c=2 d=0.378378 t=2113
da gai 	大概	c=5 d=1.37298 t=2113
da ge 	打个	c=1 d=0.121238 t=2113
da jiang you 	打酱油	c=1 d=0.0742736 t=2113
da kai 	打开	c=1 d=0.0104099 t=2113
